DriverNumber,Abbreviation,Position,Points,RaceName,RaceDate,Circuit
12,ANT,1.0,25.0,Japanese Grand Prix,2026-03-29,Suzuka
81,PIA,2.0,18.0,Japanese Grand Prix,2026-03-29,Suzuka
16,LEC,3.0,15.0,Japanese Grand Prix,2026-03-29,Suzuka
63,RUS,4.0,12.0,Japanese Grand Prix,2026-03-29,Suzuka
1,NOR,5.0,10.0,Japanese Grand Prix,2026-03-29,Suzuka
44,HAM,6.0,8.0,Japanese Grand Prix,2026-03-29,Suzuka
10,GAS,7.0,6.0,Japanese Grand Prix,2026-03-29,Suzuka
3,VER,8.0,4.0,Japanese Grand Prix,2026-03-29,Suzuka
30,LAW,9.0,2.0,Japanese Grand Prix,2026-03-29,Suzuka
31,OCO,10.0,1.0,Japanese Grand Prix,2026-03-29,Suzuka
27,HUL,11.0,0.0,Japanese Grand Prix,2026-03-29,Suzuka
6,HAD,12.0,0.0,Japanese Grand Prix,2026-03-29,Suzuka
5,BOR,13.0,0.0,Japanese Grand Prix,2026-03-29,Suzuka
41,LIN,14.0,0.0,Japanese Grand Prix,2026-03-29,Suzuka
55,SAI,15.0,0.0,Japanese Grand Prix,2026-03-29,Suzuka
43,COL,16.0,0.0,Japanese Grand Prix,2026-03-29,Suzuka
11,PER,17.0,0.0,Japanese Grand Prix,2026-03-29,Suzuka
14,ALO,18.0,0.0,Japanese Grand Prix,2026-03-29,Suzuka
77,BOT,19.0,0.0,Japanese Grand Prix,2026-03-29,Suzuka
23,ALB,20.0,0.0,Japanese Grand Prix,2026-03-29,Suzuka
18,STR,21.0,0.0,Japanese Grand Prix,2026-03-29,Suzuka
87,BEA,22.0,0.0,Japanese Grand Prix,2026-03-29,Suzuka
